title,degree_type,url_slug,url,row_number,URL,kiscourseid,A_level,A_level_subjects,GCSE,IB,IB_subjects,A_level_additional
Biochemistry,BSc,biochemistry-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/biochemistry-bsc,48,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/biochemistry-bsc,UBSBOCSING18,AAA,"Biology, Chemistry and Mathematics required.",English Language and Mathematics at grade B or 6.,38,"A total of 18 points in three higher level subjects to include Biology, Chemistry, and Mathematic, with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level.",NA
Biological Sciences,BSc,biological-sciences-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/biological-sciences-bsc,49,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/biological-sciences-bsc,UBSBOLSING18,AAA,"Biology required plus one from Chemistry, Life and Health Sciences, Mathematics or Physics.",English Language and Mathematics at grade B or 6.,38,"A total of 18 points in three higher level subjects including Biology at grade 6 and one from Chemistry, Mathematics or Physics, with no higher level score below 5. For Mathematics, the programme will accept either 'Analysis and Approaches' or 'Applications and Interpretation' at higher level.",NA
Cancer Biomedicine,BSc,cancer-biomedicine-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/cancer-biomedicine-bsc,50,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/cancer-biomedicine-bsc,UBSCANSBMD18,AAA,Biology and Chemistry required.,English Language and Mathematics at grade B or 6.,38,"A total of 18 points in three higher level subjects including 6 in Biology and Chemistry, with no higher level score below 5.
",NA
Chemistry,BSc,chemistry-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/chemistry-bsc,51,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/chemistry-bsc,UBSCHESING18,AAA,"Chemistry and at least one of Biology, Physics and Mathematics required. Biology, Physics, Mathematics, Further Mathematics, Computer Science or Psychology preferred as third subject.","English Language at grade C or 4, plus Mathematics at grade B or 6.",38,"A total of 18 points in three higher level subjects including 6 in Chemistry and 6 in one of Biology, Physics or Mathematics, with no higher level score below 5. For Mathematics, the programme will accept either 'Analysis and Approaches' or 'Applications and Interpretation' at higher level. Biology, Physics, Mathematics, Further Mathematics, Computer Science or Psychology preferred as third subject.",NA
Computer Science,BSc,computer-science-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/computer-science-bsc,52,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/computer-science-bsc,UBSCOMSING18,A*A*A,A* in either Mathematics or Further Mathematics required.,English Language and Mathematics at grade C or 4.,40,A total of 20 points in three higher level subjects including grade 7 in Mathematics. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level. 'Mathematics: Analysis and Approaches' is preferred. ,NA
Data Science,BSc,data-science-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/data-science-bsc,53,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/data-science-bsc,UBSDATSING18,A*AA,"A* in Mathematics required. Further Mathematics preferred. If you are studying both then the A* can be in either subject. Other preferred subjects include Chemistry, Economics, Physics and Statistics.",English Language and Mathematics at grade C or 4.,39,"A total of 19 points in three higher level subjects including grade 7 in Mathematics, with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level. Further Mathematics, Chemistry, Economics, Physics and Statistics preferred.",NA
Environmental Geoscience,BSc,environmental-geoscience-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/environmental-geoscience-bsc,54,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/environmental-geoscience-bsc,UBSEARSEGS18,AAB,"Biology, Chemistry, Geology/Geography, Mathematics, Further Mathematics or Physics preferred",English Language and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects to preferably include two sciences, with no higher level score below 5. Biology, Chemistry, Geology/Geography, Mathematics, Further Mathematics or Physics preferred",NA
Geology,BSc,geology-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/geology-bsc,55,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/geology-bsc,UBSEARSGEL18,AAB,"Biology, Chemistry, Geology/Geography, Mathematics, Further Mathematics or Physics preferred",English Language and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects to preferably include two sciences, with no higher level score below 5. Biology, Chemistry, Geology/Geography, Mathematics, Further Mathematics or Physics preferred",NA
Earth Sciences,BSc,earth-sciences-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/earth-sciences-bsc,56,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/earth-sciences-bsc,UBSEARSING18,AAB,"Biology, Chemistry, Geology/Geography, Mathematics, Further Mathematics or Physics preferred",English Language and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects to preferably include two sciences, with no higher level score below 5. Biology, Chemistry, Geology/Geography, Mathematics, Further Mathematics or Physics preferred",NA
Geophysics,BSc,geophysics-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/geophysics-bsc,57,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/geophysics-bsc,UBSEARSPHY18,AAB,"Mathematics and Physics required. Biology, Chemistry, Further Mathematics and Geology/Geography preferred.",English Language and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects including Mathematics and Physics, with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level. Biology, Chemistry, Further Mathematics and Geology/Geography preferred.",NA
