title,degree_type,url_slug,url,row_number,URL,kiscourseid,A_level,A_level_subjects,GCSE,IB,IB_subjects,A_level_additional
Czech and Ukrainian,BA,czech-and-ukrainian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-ukrainian-ba,44,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-ukrainian-ba,UBACZEAUKR18,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Czech and Yiddish,BA,czech-and-yiddish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-yiddish-ba,45,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-yiddish-ba,UBACZEAYID18,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 in three higher level subjects to include Czech or Yiddish, with no higher level score below 5",NA
Danish and Dutch,BA,danish-and-dutch-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-dutch-ba,46,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-dutch-ba,UBADANADUT18,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
Danish and Finnish,BA,danish-and-finnish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-finnish-ba,47,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-finnish-ba,UBADANAFIN18,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
Danish and French,BA,danish-and-french-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-french-ba,48,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-french-ba,UBADANAFRE18,ABB,French required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include French grade 6, with no higher level score below 5.",NA
Danish and German,BA,danish-and-german-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-german-ba,49,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-german-ba,UBADANAGER18,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, to include a foreign language.",NA
Danish and Hebrew,BA,danish-and-hebrew-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-hebrew-ba,50,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-hebrew-ba,UBADANAHEB18,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, to include Danish or Hebrew.",NA
Danish and Hungarian,BA,danish-and-hungarian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-hungarian-ba,51,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-hungarian-ba,UBADANAHUN18,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
Danish and Italian,BA,danish-and-italian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-italian-ba,52,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-italian-ba,UBADANAITA18,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, to include a foreign language.",NA
Danish and Polish,BA,danish-and-polish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-polish-ba,53,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-polish-ba,UBADANAPOL18,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
